Turn,Speaker,Speech
11,INTERLOCUTOR:," Gracias.
Presidente la segunda pregunta tiene que ver como con las refinerías que ya adelantó un poco que las va a visitar pero si nos pudieran presentar o nos pueden decir un adelanto de cómo se ha avanzado en la rehabilitación de las mismas. Ya nos lo había comentado un poco la secretaria Nahle hace dos meses pero si ahorita ya hay un avance mayor en estas refinerías.
Y es una pregunta también sobre coronavirus a usted presidente sobre cómo le ha informado a la Secretaría de Gobernación y el consejero jurídico sobre la preliberación de personas en situación de cárcel ante la pandemia del coronavirus. ¿Se acuerda que le pregunté este tema la semana pasada?"
12,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sí sí.
13,INTERLOCUTOR:, A ver si me puede compartir algo por favor.
14,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:," Sí yo pienso que sobre este tema último mañana informamos porque sí pedí que nos dijeran cómo vamos.
Es una iniciativa que enviamos pasó de la Cámara de Diputados al Senado y está en espera en el Senado. Yo considero que la van a aprobar tan luego reanuden sesiones."
15,INTERLOCUTOR:, Presidente pero ¿le preocupa la población carcelaria la población en situación de cárcel ante esta pandemia?
16,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:," Estamos… Bueno no viene mal el que tratemos el tema porque seguramente los senadores nos están escuchando el senador Ricardo Monreal para que se atienda esto con urgencia que se apruebe esta ley de amnistía porque va a beneficiar a adultos mayores entre otros y que pueden salir porque no cometieron delitos graves eso es lo que plantea la iniciativa, entonces ya por la edad que puedan salir."
17,ROCÍO NAHLE GARCÍA:, La rehabilitación de las refinerías va aproximadamente en un 60 por ciento del programa que se le presentó al presidente el año pasado a principios del año pasado.
18,INTERLOCUTOR:, ¿Pese al coronavirus se sigue trabajando en la rehabilitación?
19,ROCÍO NAHLE GARCÍA:, Sí por supuesto. En las plantas químicas los pozos petroleros hay gente trabajando se están tomando todas las medidas sanitarias que eso el director de Pemex quien es el que administra y ve al personal han tomado las medidas sanitarias para eso.
20,PREGUNTA:, Buenos días señor presidente. Eduardo Esquivel Ancona Análisis Económico Grupo SDP.
21,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:," En cuanto a ingresos de Hacienda por petróleo es cobertura total o sea se tiene esa protección, en el caso de Pemex es un porcentaje nada más de lo que se exporta."
22,OCTAVIO ROMERO OROPEZA:, En el caso de Hacienda bueno hacen cobertura total y el caso de Pemex es una parte de nuestra producción. Este año estamos recibiendo -porque efectivamente es distinta la cobertura que tiene Pemex para nosotros es un pago mensual que recibimos cuando el precio baja por debajo de lo pactado con el seguro- estamos calculando este año recibir alrededor de siete mil 500 millones de pesos por concepto de la cobertura del seguro.
23,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Aquí aprovecho también para decirles hablando de coberturas que hoy tengo una reunión con los integrantes del Banco de México porque hay y esto lo informo al pueblo cuando se deprecia la moneda el Banco de México tiene que compensar a la hacienda pública con un monto.
24,INTERLOCUTOR:, (inaudible)
25,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Esas son las cuentas que queremos hacer bien. Pero sí es algo importante algo importante para que nos aumente la deuda.
26,INTERLOCUTOR:, Quisiera hacerle otra pregunta. Las calificadoras Standar & Poors y la otra Fitch bajó la calificación de Pemex a especulativa BB+ con tendencia a la baja.
27,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Creo que no porque el año pasado se hizo una renegociación de deuda en Pemex y disminuyó la tasa de interés incluso se amplió el término el plazo de pago en Pemex. Entonces no creo que afecte.
28,INTERLOCUTOR:, Por último nada más quería decirle que nos juntamos un grupo de amigos economistas y de comercio exterior e hicimos unas propuestas para la reactivación de la economía. Si usted me permitiera entregarlas.
29,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Cómo no y muchas gracias.
30,INTERLOCUTOR:, Sí porque hay que sumar y hay que proponer no nada más criticar.
31,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, De acuerdo. Muchas gracias.
32,PREGUNTA:, Buenos días señor presidente. Verenice Téllez del diario nacional UnomásUno.
33,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Yo creo que hay que esperarnos hay que actuar con mucha responsabilidad. Esto aplica para lo del precio del petróleo aplica para la actuación de las calificadoras.
34,PREGUNTA:, Gracias señor presidente. Buenos días. Lidia Arista reportera de Grupo Expansión.
35,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Llevamos muy buena relación con los gobernadores lo que pasa es que siempre hay polémica hay debate pero es consustancial a la democracia no podemos pensar todos de la misma manera.
36,INTERLOCUTORA:, Están pidiendo recursos extraordinarios para estados y municipios es decir piden más. ¿Van a venir más?
37,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Claro porque todo lo que se está logrando por ejemplo este acuerdo que firmamos con los hospitales privados es para todo el país sin distinción.
38,INTERLOCUTORA:, ¿Tiene calculado a cuánto ascienden estos recursos que se entregarán después de junio?
39,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, No tengo el dato exacto pero sí se los podemos dar.
40,INTERLOCUTORA:, Presidente en este sentido ¿también tiene ya calculado cuánto le va a costar a México la pandemia?
41,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sí alcanza eso sí le puedo comentar.  Tenemos recursos suficientes porque ahorramos y porque se acabó la robadera.
42,INTERLOCUTORA:, Presidente la segunda pregunta por favor.
43,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:,  Pues fíjese que no leo ni siquiera la editorial de El Universal o del Reforma menos voy a leer la editorial de ese periódico.
44,INTERLOCUTORA:, Sobre un toque de queda.
45,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Ah no eso no. Se tiene que ser voluntario y la verdad yo siento que se han portado muy bien los mexicanos.
46,INTERLOCUTORA:, (inaudible) porque van 130 infracciones.
47,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Yo creo que somos libres recuerden ustedes que México es un país democrático ahora sí de verdad y federalista.
48,PREGUNTA:, Sobre el tema yo tengo algo.
49,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Por respeto por respeto. Después.
50,PREGUNTA:," Muy buenos días señor presidente, buenos días a sus colaboradores."
51,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sí es que… Miguel es muy buena tu pregunta.
52,INTERLOCUTOR:, Era el cuarto productor mundial entonces México.
53,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sí porque hasta los años 70 se cuidó mucho de que se produjera petróleo para el consumo interno y en todo este periodo desde el 38 hasta los años 70 finales de los 70 fue cuando se hicieron las refinerías se desarrolló la industria petroquímica y se convirtió el Instituto Mexicano del Petróleo en un ejemplo mundial en cuanto a conocimiento manejo de tecnología petrolera era ejemplo en el mundo.
54,OCTAVIO ROMERO OROPEZA:, Creo que más del 70 por ciento.
55,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Setenta por ciento imagínense.
56,PREGUNTA:, Como unos días
57,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, No más. Tenemos reservas.
58,PREGUNTA:, Quería preguntarle señor. Es evidente que tiene usted asesores consejeros su experiencia personal de gobernar y su sensibilidad de hombre que siente las necesidades del país.
59,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Me ayuda mucho el conocimiento de la historia y esto también para política exterior cómo han sido las relaciones de México históricamente con otros países del mundo y en particular cómo ha sido la relación de México con Estados Unidos desde los momentos más difíciles los agravios mayores el Gran Zarpazo hasta tiempos de cooperación y de entendimiento como los que se dieron en la época del presidente Lincoln y del presidente Juárez el entendimiento del presidente Roosevelt con el presidente Cárdenas. Eso me ayuda mucho.
60,ROCÍO NAHLE GARCÍA:, La negociación duró muchas horas el primer día. Y efectivamente Arabia Saudita no aceptaba tan fácil la condición que nosotros estábamos colocando y en la segunda reunión que se tuvo el domingo ya habían aceptado las condiciones ya se había hecho el análisis de cuánto se iba a recortar en el mercado.
61,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Muy bien. A ver la compañera.
62,PREGUNTA:, Gracias presidente. Reina Haydée Ramírez periodista independiente reportera y de Pie de Página.
63,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sí acerca de lo último. Nosotros vamos a seguir impulsando todo lo que son energías alternativas para no depender del petróleo que es un recurso no renovable.
64,INTERLOCUTORA:, Para bacheo.
65,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sobre todo bacheo. Les puedo ya decir que vamos a destinar 500 millones de pesos del gobierno federal para Hermosillo para estas obras. Es un plan emergente que se va a aplicar en 50 ciudades vamos a invertir 25 mil millones de pesos es un promedio de 500 millones.
66,INTERLOCUTORA:, ¿Por ciudad?
67,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Por ciudad.
68,INTERLOCUTORA:, ¿Qué otras ciudades?
69,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, ¿Cuánto iban a obtener por la venta? ¿cuánto calculaban?
70,INTERLOCUTORA:, Bueno hablaban de 180 mínimo 180 millones mínimo pero ahí de eran 120 para el bacheo.
71,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Bueno van a tener 150. Es mi palabra.
72,INTERLOCUTORA:, ¿Qué otras ciudades?
73,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Ya hasta ahí ya después damos a conocer.
74,INTERLOCUTORA:, Gracias.
75,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Muy bien. Pero mira lo que hiciste. Por eso es muy bueno el periodismo libre lo que ustedes aquí hacen de plantear las denuncias demandas los sentimientos de la gente.
76,ALEJANDRO SVARCH PÉREZ TITULAR DE LA COORDINACIÓN NACIONAL MÉDICA DEL INSTITUTO DE SALUD PARA EL BIENESTAR (INSABI):, Buenos días señor presidente. Con su permiso.
77,ALEJANDO SVARCH PÉREZ:, Como señalaba el señor presidente nuestra meta es que todos los pacientes que tengamos por COVID sean atendidos por un equipo multidisciplinario que todos nuestros pacientes tengan los médicos que necesitan para su atención.
78,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Esto es en general es un llamado. Yo estoy seguro de que va a seguir habiendo respuesta. Acuérdense que ya hicimos un primer llamado y se inscribieron muchos.
79,PREGUNTA:, La reunión con los del Banco de México ¿a qué hora sería presidente?
80,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Creo que a las 10:00
81,PREGUNTA:, ¿Y se reúne con Salud también?
82,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Hoy también con Salud.
83,PREGUNTA:, ¿A qué hora presidente?
84,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, A las 8:00 de la noche.
85,PREGUNTA:, ¿Y con empresarios presidente?
86,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Hoy no hoy no.
87,PREGUNTA:, La capacitación…
88,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Es general es aquí informan en ese teléfono ¿verdad?
89,PREGUNTA:, ¿Y la contratación es sólo por seis meses?
90,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, No es indefinido sí.
91,PREGUNTA:, Gracias.
